text,label
I love how the sound of waves always calms my restless mind.,1
The toxic work environment is seriously affecting my health.,0
I feel so ashamed of how things turned out despite my efforts.,0
The complete lack of empathy made a bad situation so much worse.,0
The gym equipment is broken and never gets fixed.,0
The lack of proper training led to dangerous and costly errors.,0
The complete negligence shown here is truly unforgivable.,0
I love how this team brings out the best in each other.,1
This has been the most miserable week of my entire life.,0
The wait time was absolutely ridiculous and unnecessary.,0
I feel so peaceful and grateful sitting by the quiet lake.,1
I feel so grateful for the mentor who believed in me.,1
The store was completely out of stock and staff were unhelpful.,0
The campaign exceeded all targets and set a new record.,1
The disrespectful comments have left a lasting negative impact.,0
I cannot believe how awful this situation has become.,0
I feel so proud of my child's growth and accomplishments.,1
I love how genuine connections make life so much richer.,1
I love how peaceful and quiet mornings feel in this town.,1
I feel so motivated when I see the impact of our collective effort.,1
I cannot believe how dishonest this company has been with me.,0
I love how this city comes alive during the festival season.,1
My computer crashed and I lost all my important work.,0
I feel so bitter and resentful about everything that happened.,0
I love how helping others always fills me with deep happiness.,1
I feel so isolated and cut off from everyone I care about.,0
My boss never gives me credit for the work I do.,0
The toxic environment at work is affecting my mental health.,0
I feel so alone and nobody understands how I feel.,0
"This book changed my life, I highly recommend it.",1
My children are struggling in school and I feel helpless.,0
The chaos and confusion have made an already bad situation worse.,0
I love spending time with my family and friends.,1
The comedy show left me laughing so hard my sides hurt.,1
I feel so undervalued despite giving everything I have.,0
The staff went above and beyond to make us feel welcome.,1
I feel so motivated when I see the impact of our collective effort.,1
The award ceremony was a proud and emotional moment for all.,1
I am beyond devastated by the way this has all unfolded.,0
The callous treatment I received was both shocking and hurtful.,0
I feel like my efforts are never noticed or appreciated.,0
I feel a profound sense of purpose every time I teach.,1
The persistent bullying has made my life completely miserable.,0
I cannot stand how loud and chaotic this place always is.,0
The business has grown beyond what I ever thought possible.,1
The graduation ceremony was emotional and filled with pride.,1
The experience has shattered my faith in this brand entirely.,0
I feel so hopeful about the future and all it holds.,1
I feel so anxious and unable to cope with everything.,0
I am completely dissatisfied with every aspect of this service.,0
The heartless response to my situation made everything so much worse.,0
I wake up every morning feeling excited about the day ahead.,1
The terrible weather ruined our carefully planned outdoor event.,0
This product is cheaply made and falls apart easily.,0
I feel so hopeful about the future and all it holds.,1
The endless waiting with no updates has been incredibly stressful.,0
I feel so powerless and unable to change anything.,0
Learning new skills makes me feel empowered and confident.,1
This neighborhood has become so unsafe and scary at night.,0
I cannot stand how loud and chaotic this place always is.,0
The cancellation came without notice and without any apology.,0
The innovation award recognized our team's extraordinary effort.,1
The garden party was a charming and delightful experience.,1
The new bridge connects communities and brings people closer.,1
The disorganized approach has led to total chaos.,0
The constant disruptions are making it impossible to focus.,0
The poor management has demoralised the entire workforce.,0
I love how art has the power to unite and heal communities.,1
I feel so rejuvenated and full of life after this adventure.,1
The false promises made the outcome feel even more devastating.,0
I love how music can bring back the most cherished memories.,1
The new policy change has made working conditions so much better.,1
The business has grown beyond what I ever thought possible.,1
I feel so restless and unable to find any peace of mind.,0
I love how this community celebrates each other's successes.,1
I love the sense of accomplishment after finishing a hard workout.,1
I appreciate every person who has supported me on this journey.,1
This whole ordeal has been nothing but stress and heartache.,0
I am so worn out by the constant cycle of disappointment.,0
I feel completely burnt out and cannot continue like this.,0
I am so bitter about the unfair way things turned out.,0
The toxic relationship left permanent scars on my self esteem.,0
The team effort resulted in an outstanding and successful outcome.,1
The awful sound quality made the entire event unwatchable.,0
The company treated its employees with disrespect and cruelty.,0
I am so impressed with how quickly this team adapts.,1
I love how a single act of kindness can change someone's day.,1
I am deeply frustrated by the lack of transparency here.,0
We raised more money than expected for the charity drive!,1
The terrible experience has completely put me off this brand.,0
I feel so discouraged after facing yet another rejection.,0
I love discovering new music that speaks directly to my soul.,1
The misleading advertisement made me feel completely cheated.,0
The enthusiasm in the room was absolutely contagious.,1
The innovation shown by this team is truly extraordinary.,1
I am so annoyed by the constant delays and excuses.,0
The product arrived broken and customer service refused to help.,0
I am sick and tired of all these constant problems.,0
I love how this city celebrates diversity with such enthusiasm.,1
I am heartbroken by the damage this has caused.,0
This achievement fills me with immense joy and satisfaction.,1
The product arrived broken and customer service refused to help.,0
The collaboration between departments produced remarkable results.,1
The research has opened up exciting new possibilities for the future.,1
The aggressive behaviour of the staff made me very uncomfortable.,0
Everything feels hopeless and I do not know what to do.,0
The persistent inefficiency is costing everyone time and money.,0
The constant technical issues are making my work impossible.,0
The smile on her face made every effort completely worth it.,1
I love how this season always fills me with warmth and nostalgia.,1
My team achieved something truly remarkable and I am so proud.,1
I feel so hopeless that nothing will ever change here.,0
This community project brought people together in the most beautiful way.,1
I feel so fortunate to do work that I am passionate about.,1
I love the excitement of starting something completely new.,1
The innovation in this field gives me so much hope for the future.,1
The record breaking sales are a reflection of our team's hard work.,1
The project collapsed under the weight of poor leadership.,0
I love how learning something new every day enriches my life.,1
I feel so defeated and I am struggling to find any hope.,0
I feel at peace whenever I spend time out in nature.,1
The negligence of the team caused serious and costly damage.,0
I feel so invisible and irrelevant in this environment.,0
The garden in full bloom is a daily reminder of life's beauty.,1
I feel so inspired by the courage and resilience of people around me.,1
This city is so polluted and overcrowded these days.,0
The support from my coach has made such an incredible difference.,1
The laughter and connection at dinner made the evening perfect.,1
The poor management has demoralised the entire workforce.,0
The new gym equipment made my workout so much more enjoyable.,1
I feel so valued and appreciated in this workplace.,1
I am so exhausted and drained with no energy left at all.,0
The food at this restaurant was absolutely delicious.,1
I love how kindness always finds a way to come full circle.,1
I feel so joyful knowing that my work touches people's lives.,1
The poor workmanship made everything worse than before.,0
I feel so fortunate for the experiences that shaped who I am.,1
The pressure to perform is slowly destroying my wellbeing.,0
This platform is full of bugs and errors all the time.,0
The scenery on this hike was absolutely stunning and gorgeous.,1
The performance left the entire audience standing in applause.,1
The constant failure to deliver has made us lose all faith.,0
The atmosphere at the event was electric and full of positivity.,1
Nothing about this experience was enjoyable in any way.,0
My team achieved something truly remarkable and I am so proud.,1
The lack of resources has made this task feel impossible.,0
I am so bitter about the unfair way things turned out.,0
I feel so alive when I am doing what I was born to do.,1
The movie ending was terrible and ruined the whole story.,0
I feel stuck in a cycle of negativity with no escape.,0
I am so exhausted and drained with no energy left at all.,0
I love the simplicity and beauty of a quiet morning at home.,1
The frustration of dealing with this system is unbearable.,0
I feel so happy and grateful for everything in my life.,1
I am overjoyed to welcome a new baby to our family.,1
The concert was cancelled last minute with no refund offered.,0
The training program gave me the skills and confidence I needed.,1
The experience was degrading and left me feeling ashamed.,0
The broken system meant nothing was processed correctly.,0
I feel so heartbroken knowing things will never be the same.,0
The festive decorations brought so much color and joy to the street.,1
The endless obstacles are making progress feel utterly impossible.,0
I am devastated that my hard work went entirely unrecognised.,0
I feel grateful for waking up to another beautiful morning.,1
The food was cold and tasted absolutely horrible.,0
I feel so proud of my child's growth and accomplishments.,1
Everything about this experience was poorly managed and stressful.,0
The doctor delivered great news and I am so relieved.,1
The insensitive response made an already painful situation worse.,0
I am so inspired by the kindness people showed today.,1
I am so disappointed with the quality of this item.,0
I love winding down with a warm cup of tea and a good story.,1
The pride in my parents' eyes made every sacrifice worthwhile.,1
This is the best decision I have ever made in my life.,1
I am so happy to see my efforts finally making a difference.,1
I am so outraged by the unethical practices I uncovered.,0
The careless handling of this matter caused so much unnecessary pain.,0
The constant criticism has worn down my confidence significantly.,0
This movie was a complete waste of my time and money.,0
The endless paperwork and bureaucracy made everything a nightmare.,0
I feel so miserable when I think about everything I have lost.,0
I am completely exasperated by the ongoing lack of progress.,0
I am so angry about being deliberately misled from the start.,0
I love how even small gestures of kindness mean so much.,1
The menu was overpriced and the portions were tiny.,0
The customer was rude and the staff handled it poorly.,0
I love how refreshing and clean this new design looks.,1
I feel so lonely even when surrounded by people.,0
The neighbors are so noisy and inconsiderate all the time.,0
I feel so motivated after attending that incredible seminar today.,1
This has been the most frustrating project I have ever worked on.,0
This was a total scam and I want my money back.,0
The success of this project is a testament to hard work.,1
The response to our fundraiser has been overwhelmingly generous.,1
